"","Symbol","Date","Prev.Close","Open.Price","High.Price","Low.Price","Close.Price","Average.Price","Total.Traded.Quantity","MA30","MA50","MA100","MA200"
"2001","UTIBANK","6-Aug-07",621.15,602,626.5,601,620.3,619.01,743597,624.8833333,609.88,552.6645,517.08175
"2002","UTIBANK","7-Aug-07",620.3,627,638.9,601.2,613.75,623.71,696110,625.3416667,610.917,554.074,518.0765
"2003","UTIBANK","8-Aug-07",613.75,615.75,631,613.9,625.85,626.18,730529,626.5283333,612.238,555.6395,519.11325
"2004","UTIBANK","9-Aug-07",625.85,625,633.85,604.1,607.05,618.37,424816,627.4533333,612.88,557.223,520.09975
"2005","UTIBANK","10-Aug-07",607.05,580.7,602.85,575.2,589.35,590.79,546867,626.915,613.127,558.416,520.946
"2006","UTIBANK","13-Aug-07",589.35,590,607.8,576.3,600.25,594.14,775622,626.6766667,613.615,559.7905,521.8445
"2007","UTIBANK","14-Aug-07",600.25,606,606,593.3,597.5,598.35,221303,625.8116667,613.991,560.9545,522.74
"2008","AXISBANK","16-Aug-07",597.5,588,594.9,551,557.85,564.61,860905,623.7866667,613.637,561.494,523.4425
"2009","AXISBANK","17-Aug-07",557.85,546.05,581,534,575.15,560.1,1338154,621.9583333,613.742,561.999,524.226
"2010","AXISBANK","20-Aug-07",575.15,585,609,577,604.65,593.44,878025,621.155,614.656,562.85,525.11
"2011","AXISBANK","21-Aug-07",604.65,613.9,613.9,587,590.9,599.01,441898,619.7016667,615.157,563.8055,525.885
"2012","AXISBANK","22-Aug-07",590.9,592,599.7,561.15,582.55,578.25,551499,618.0966667,615.081,564.831,526.591
"2013","AXISBANK","23-Aug-07",582.55,602,614,565.75,582.5,584.29,629828,616.4483333,615.03,565.752,527.27475
"2014","AXISBANK","24-Aug-07",582.5,577,597,565.1,570.95,572.09,745735,614.0616667,614.732,566.8685,527.92675
"2015","AXISBANK","27-Aug-07",570.95,586,586,575.15,577.45,578.99,578904,611.8166667,614.286,567.988,528.62375
"2016","AXISBANK","28-Aug-07",577.45,583.8,607.5,577.2,599.9,597.1,1378607,610.2883333,614.096,569.4,529.499
"2017","AXISBANK","29-Aug-07",599.9,594,624,582,612.5,613.03,2583362,609.0483333,614.077,571.0105,530.39975
"2018","AXISBANK","30-Aug-07",612.5,620,634.7,612,629.65,617.32,4213178,608.1633333,614.26,572.3135,531.359
"2019","AXISBANK","31-Aug-07",629.65,633,643,631.3,635,638.2,699623,607.66,614.596,573.7705,532.309
"2020","AXISBANK","3-Sep-07",635,635,640.9,625,637.35,634.63,777049,607.4183333,615.057,575.466,533.23625
"2021","AXISBANK","4-Sep-07",637.35,640,671,639.9,658.85,657.19,1101122,608.5666667,615.91,577.422,534.16375
"2022","AXISBANK","5-Sep-07",658.85,659.9,675.4,659.9,666.65,669.74,765902,610.29,617.243,579.3995,535.162
"2023","AXISBANK","6-Sep-07",666.65,652.3,669.7,652.3,659.75,660.98,578519,611.6633333,618.633,581.308,536.033
"2024","AXISBANK","7-Sep-07",659.75,661.25,664.9,650,651.2,657.22,324459,612.86,620.071,583.169,536.86375
