,Symbol,Series,Date,Prev.Close,Open.Price,High.Price,Low.Price,Last.Price,Close.Price,Average.Price,Total.Traded.Quantity,Turnover,No..of.Trades,Deliverable.Qty,X..Dly.Qt.to.Traded.Qty,,,MA30,MA50,MA100,MA200
119,UTIBANK,EQ,22-Jun-99,14.95,15,15.1,14.6,14.85,14.85,14.97,5100,76340,-,-,-,,,14.575,14.023,14.3845,
120,UTIBANK,EQ,23-Jun-99,14.85,14.5,18,14.45,16.15,16.2,16.37,109900,1798810,-,-,-,,,14.67333333,14.088,14.3915,
121,UTIBANK,EQ,24-Jun-99,16.2,15,16.8,15,15.7,15.5,15.81,37000,584815,-,-,-,,,14.74,14.138,14.391,
122,UTIBANK,EQ,25-Jun-99,15.5,16.1,16.1,15.7,15.9,15.8,15.88,15200,241375,-,-,-,,,14.79666667,14.175,14.3915,
123,UTIBANK,EQ,28-Jun-99,15.8,15.5,15.9,15.5,15.9,15.9,15.79,17500,276320,-,-,-,,,14.86,14.232,14.395,
124,UTIBANK,AE,29-Jun-99,15.2,16,16,16,16,16,16,200,3200,-,-,-,,,14.93,14.288,14.4,
125,UTIBANK,EQ,29-Jun-99,15.9,15.9,15.9,15.6,15.9,15.8,15.72,13700,215395,-,-,-,,,14.935,14.344,14.4045,
126,UTIBANK,EQ,30-Jun-99,15.8,15.5,15.75,15.3,15.45,15.55,15.52,12400,192400,-,-,-,,,14.95,14.387,14.409,
127,UTIBANK,AE,1-Jul-99,16,17.75,17.75,17.75,17.75,17.75,17.75,200,3550,-,-,-,,,15.055,14.477,14.434,
128,UTIBANK,EQ,1-Jul-99,15.55,15.85,15.85,15.25,15.65,15.65,15.59,6000,93555,-,-,-,,,15.09833333,14.522,14.4375,
129,UTIBANK,EQ,2-Jul-99,15.65,15.5,15.9,15.45,15.75,15.75,15.71,13800,216840,-,-,-,,,15.14833333,14.597,14.4425,
130,UTIBANK,EQ,5-Jul-99,15.75,16,16,15.25,15.45,15.55,15.77,28200,444785,-,-,-,,,15.185,14.658,14.446,
131,UTIBANK,AE,6-Jul-99,17.75,15.5,15.5,15.5,15.5,15.5,15.5,100,1550,-,-,-,,,15.235,14.714,14.453,
132,UTIBANK,EQ,6-Jul-99,15.55,16.25,16.25,15.25,15.6,15.65,15.71,30300,476120,-,-,-,,,15.32,14.763,14.459,
133,UTIBANK,EQ,7-Jul-99,15.65,15.85,16.15,15.6,16,16.05,15.95,30700,489620,-,-,-,,,15.38833333,14.824,14.4695,
134,UTIBANK,EQ,8-Jul-99,16.05,15.75,15.95,15.6,15.75,15.8,15.82,10100,159780,-,-,-,,,15.43166667,14.876,14.4775,
135,UTIBANK,AE,9-Jul-99,15.5,16.4,16.4,16.4,16.4,16.4,16.4,500,8200,-,-,-,,,15.47833333,14.939,14.4935,
136,UTIBANK,EQ,9-Jul-99,15.8,15.7,16,15.7,15.7,15.75,15.83,11700,185175,-,-,-,,,15.51166667,14.981,14.509,
137,UTIBANK,EQ,12-Jul-99,15.75,15.7,17.1,15.7,17.1,17,16.48,54000,889985,-,-,-,,,15.58666667,15.046,14.531,
138,UTIBANK,AE,13-Jul-99,16.4,18,18,18,18,18,18,100,1800,-,-,-,,,15.65666667,15.132,14.5635,
139,UTIBANK,EQ,13-Jul-99,17,16.65,17.2,16.5,16.7,16.85,16.84,41400,697040,-,-,-,,,15.73333333,15.194,14.589,
140,UTIBANK,EQ,14-Jul-99,16.85,17.05,17.05,16.35,16.85,16.75,16.76,25400,425585,-,-,-,,,15.78333333,15.264,14.609,
141,UTIBANK,EQ,15-Jul-99,16.75,17,17,16.1,16.2,16.15,16.56,15600,258375,-,-,-,,,15.81,15.317,14.628,
142,UTIBANK,EQ,16-Jul-99,16.15,16.25,16.5,16,16.5,16.35,16.28,17700,288110,-,-,-,,,15.84666667,15.362,14.6145,
143,UTIBANK,EQ,19-Jul-99,16.35,19.9,20.45,19.3,19.65,19.65,20.18,149100,3008740,-,-,-,,,16.01333333,15.475,14.6415,
144,UTIBANK,EQ,20-Jul-99,19.65,20.45,23.5,16.5,18.4,18.25,18.33,101700,1864230,-,-,-,,,16.13166667,15.562,14.653,
145,UTIBANK,AE,21-Jul-99,18,22.5,22.5,22.5,22.5,22.5,22.5,200,4500,-,-,-,,,16.385,15.699,14.7165,
146,UTIBANK,EQ,21-Jul-99,18.25,18.45,19.95,18.15,19,19,19.02,74400,1414895,-,-,-,,,16.52333333,15.777,14.7485,
147,UTIBANK,EQ,22-Jul-99,19,19,19.25,18.5,19,18.9,18.97,39000,739640,-,-,-,,,16.66,15.863,14.7795,
148,UTIBANK,AE,23-Jul-99,22.5,20,20,20,20,20,20,2000,40000,-,-,-,,,16.82833333,15.976,14.826,
149,UTIBANK,EQ,23-Jul-99,18.9,18.9,19.65,18.25,18.65,18.6,18.81,27800,522860,-,-,-,,,16.95333333,16.063,14.8615,
150,UTIBANK,EQ,26-Jul-99,18.6,18.5,18.7,17.5,18.45,18.3,18.09,32300,584355,-,-,-,,,17.02333333,16.14,14.897,
151,UTIBANK,EQ,27-Jul-99,18.3,18.25,18.25,17.5,17.9,17.65,17.87,51400,918710,-,-,-,,,17.095,16.213,14.9355,
152,UTIBANK,EQ,28-Jul-99,17.65,17.5,18.4,17.4,17.4,17.5,17.57,39400,692425,-,-,-,,,17.15166667,16.301,14.968,
153,UTIBANK,EQ,29-Jul-99,17.5,17.5,17.9,17.3,17.4,17.4,17.53,12200,213905,-,-,-,,,17.20166667,16.369,14.997,
154,UTIBANK,EQ,30-Jul-99,17.4,17.05,17.5,17.05,17.2,17.4,17.33,15500,268650,-,-,-,,,17.24833333,16.427,15.028,
155,UTIBANK,EQ,2-Aug-99,17.4,17.1,17.1,16.5,16.7,16.6,16.68,21200,353670,-,-,-,,,17.275,16.459,15.0515,
156,UTIBANK,EQ,3-Aug-99,16.6,16.7,17,15.05,16,15.9,15.97,35500,566920,-,-,-,,,17.28666667,16.482,15.0725,
157,UTIBANK,EQ,4-Aug-99,15.9,16.45,17.5,16.45,17,16.9,17.12,29900,511835,-,-,-,,,17.25833333,16.525,15.106,
158,UTIBANK,AE,5-Aug-99,20,17,17,17,17,17,17,500,8500,-,-,-,,,17.30333333,16.547,15.1365,
159,UTIBANK,EQ,5-Aug-99,16.9,16.5,17,16.4,16.5,16.5,16.61,14400,239150,-,-,-,,,17.32833333,16.586,15.1605,
160,UTIBANK,AE,6-Aug-99,17,17,17.2,17,17.2,17.2,17.12,500,8560,-,-,-,,,17.38333333,16.625,15.1935,
161,UTIBANK,EQ,6-Aug-99,16.5,16.55,16.9,16.25,16.45,16.6,16.63,10400,172915,-,-,-,,,17.42,16.65,15.226,
162,UTIBANK,EQ,9-Aug-99,16.6,17,17.7,16.5,16.6,16.65,16.87,17600,296870,-,-,-,,,17.45333333,16.678,15.252,
163,UTIBANK,EQ,10-Aug-99,16.65,16.85,16.85,16.1,16.6,16.55,16.39,17100,280235,-,-,-,,,17.47,16.716,15.2775,
164,UTIBANK,EQ,11-Aug-99,16.55,16.8,16.8,16.25,16.65,16.65,16.62,12400,206095,-,-,-,,,17.49833333,16.755,15.3085,
165,UTIBANK,EQ,12-Aug-99,16.65,17,17.1,16.5,16.5,16.5,16.83,28700,482965,-,-,-,,,17.50166667,16.787,15.341,
166,UTIBANK,EQ,13-Aug-99,16.5,16.4,16.85,16.3,16.5,16.5,16.5,19000,313530,-,-,-,,,17.52666667,16.82,15.3735,
167,UTIBANK,EQ,16-Aug-99,16.5,16.3,17,16.3,16.75,16.85,16.65,24800,413030,-,-,-,,,17.52166667,16.861,15.409,
168,UTIBANK,AE,17-Aug-99,17.2,17.3,17.5,17.3,17.5,17.5,17.43,800,13940,-,-,-,,,17.505,16.912,15.45,
169,UTIBANK,EQ,17-Aug-99,16.85,16.75,17,16.5,16.6,16.65,16.74,33800,565955,-,-,-,,,17.49833333,16.948,15.4855,
170,UTIBANK,EQ,18-Aug-99,16.65,17.45,18,17.1,18,17.9,17.63,76900,1355765,-,-,-,,,17.53666667,16.982,15.535,
171,UTIBANK,EQ,19-Aug-99,17.9,18.4,18.45,17.2,17.85,17.8,17.87,73800,1318940,-,-,-,,,17.59166667,17.028,15.583,
172,UTIBANK,EQ,20-Aug-99,17.8,17.7,18.2,17.3,18,18,17.81,24100,429235,-,-,-,,,17.64666667,17.072,15.6235,
173,UTIBANK,EQ,23-Aug-99,18,18.55,19.95,18,18,18.15,18.44,58500,1078540,-,-,-,,,17.59666667,17.117,15.6745,
174,UTIBANK,EQ,24-Aug-99,18.15,18.25,19,17.8,19,18.75,18.56,80800,1499825,-,-,-,,,17.61333333,17.172,15.73,
175,UTIBANK,EQ,25-Aug-99,18.75,20,20,18.1,18.75,18.65,19.03,111700,2125105,-,-,-,,,17.485,17.229,15.7865,
176,UTIBANK,EQ,26-Aug-99,18.65,18.5,19.5,18.3,18.8,18.75,18.6,36200,673185,-,-,-,,,17.47666667,17.293,15.84,
177,UTIBANK,EQ,27-Aug-99,18.75,19.25,19.25,18.25,18.8,18.5,18.59,20000,371885,-,-,-,,,17.46333333,17.308,15.8925,
178,UTIBANK,EQ,30-Aug-99,18.5,18.6,18.75,18.2,18.3,18.35,18.49,30600,565850,-,-,-,,,17.40833333,17.362,15.942,
