Symbol,Date,Prev.Close,Open.Price,High.Price,Low.Price,Close.Price,Average.Price,Total.Traded.Quantity,MA30,MA50,MA100,MA200
UTIBANK,29-Feb-00,38.85,41,41,35.75,36.25,39.24,316300,38.225,33.628,27.598,22.5735
UTIBANK,1-Mar-00,36.25,37,39.15,36.9,39.15,38.49,132000,38.3,33.947,27.8295,22.6905
UTIBANK,2-Mar-00,39.15,42.2,42.2,38,38.2,39.45,172700,38.245,34.231,28.0495,22.80375
UTIBANK,3-Mar-00,38.2,38,38,35.15,35.55,35.71,144700,38.10166667,34.47,28.243,22.904
UTIBANK,6-Mar-00,40.5,38.15,38.15,37.15,38,38.01,725,37.93333333,34.765,28.458,23.01575
UTIBANK,6-Mar-00,35.55,37.7,37.8,35,35.2,35.96,90200,37.74,34.966,28.647,23.1115
UTIBANK,7-Mar-00,38,35.5,36.45,35.5,36.45,36.43,500,37.63333333,35.197,28.846,23.21475
UTIBANK,7-Mar-00,35.2,33.5,35.4,32.4,32.65,32.79,175200,37.38833333,35.338,29.011,23.296
UTIBANK,8-Mar-00,32.65,34,34.85,30.25,30.6,32.38,111100,37.14333333,35.436,29.1545,23.37025
UTIBANK,9-Mar-00,30.6,29.65,31.1,28.15,28.5,28.8,81200,36.80166667,35.517,29.278,23.42775
UTIBANK,10-Mar-00,36.45,30.7,30.7,30.7,30.7,30.7,100,36.62333333,35.629,29.4235,23.49125
UTIBANK,10-Mar-00,28.5,28,28.9,26.55,28.05,27.53,61600,36.26,35.694,29.543,23.54725
UTIBANK,13-Mar-00,30.7,30.25,30.25,30.25,30.25,30.25,700,35.865,35.793,29.685,23.61475
UTIBANK,13-Mar-00,28.05,28.5,29.85,26.05,28.35,27.69,95400,35.51833333,35.859,29.8055,23.67575
UTIBANK,14-Mar-00,30.25,29.05,30,29,29.1,29.27,4400,35.3,35.901,29.9325,23.7395
UTIBANK,14-Mar-00,28.35,27.5,28.3,26.1,27.4,27.37,143700,34.94333333,35.908,30.04,23.77825
UTIBANK,15-Mar-00,27.4,29.6,29.6,29.6,29.6,29.6,25600,34.64666667,35.915,30.1685,23.835
UTIBANK,16-Mar-00,29.6,30.7,32,29.5,31.9,31.27,118700,34.42,35.921,30.3225,23.882
UTIBANK,21-Mar-00,31.9,34.25,34.25,30.25,30.8,31.35,85026,34.22666667,35.905,30.462,23.941
UTIBANK,22-Mar-00,30.8,32.75,32.75,30.6,32.35,31.85,61550,34.07166667,35.874,30.6135,24.00825
UTIBANK,23-Mar-00,32.35,32.8,33.45,31,31.45,31.57,36125,33.94,35.82,30.741,24.0655
UTIBANK,24-Mar-00,31.45,31.45,33,30.8,31.9,31.86,32075,33.77,35.72,30.826,24.132
UTIBANK,27-Mar-00,31.9,30.5,32.3,30,30.6,31.44,42001,33.665,35.535,30.8825,24.1935
UTIBANK,28-Mar-00,30.6,30.25,32,30.1,31.7,31.05,93495,33.57,35.372,30.969,24.26375
UTIBANK,29-Mar-00,31.7,32.9,34.25,32,34.25,33.96,23660,33.47,35.196,31.082,24.3475
UTIBANK,30-Mar-00,34.25,36,37,35.05,36.75,36.43,98921,33.45,35.111,31.2305,24.44425
UTIBANK,31-Mar-00,36.75,36.9,39.7,36.25,39.7,39.15,71380,33.47333333,35.112,31.4025,24.55575
UTIBANK,3-Apr-00,39.7,42.9,42.9,36.8,38.9,40.43,213574,33.455,35.09,31.5565,24.66725
UTIBANK,4-Apr-00,38.9,39.95,39.95,35.8,35.8,36.02,53473,33.35333333,35.047,31.6985,24.76675
UTIBANK,5-Apr-00,35.8,33.05,38.65,33,34.7,35.14,88895,33.16,34.966,31.82,24.85575
UTIBANK,6-Apr-00,34.7,35.75,35.9,32.25,32.8,33.4,76357,33.045,34.901,31.9045,24.93475
UTIBANK,7-Apr-00,32.8,34.1,35.45,34.1,35.45,35.39,20370,32.92166667,34.831,31.996,25.0295
UTIBANK,10-Apr-00,35.45,38,38.3,36.3,37.95,37.9,149272,32.91333333,34.748,32.0915,25.13325
UTIBANK,11-Apr-00,37.95,39.9,39.9,35.6,36.7,36.48,87414,32.95166667,34.707,32.1885,25.23375
UTIBANK,12-Apr-00,36.7,36.3,38.4,36.25,36.95,37.22,45088,32.91666667,34.733,32.2855,25.33525
UTIBANK,13-Apr-00,36.95,36,36.75,34.5,35,35.56,51006,32.91,34.671,32.3555,25.4275
UTIBANK,17-Apr-00,35,32.2,34.25,32.2,34.05,32.73,86534,32.83,34.582,32.429,25.5145
UTIBANK,18-Apr-00,34.05,34.5,35.25,33.25,34.4,34.34,88332,32.88833333,34.496,32.517,25.604
UTIBANK,19-Apr-00,34.4,35.55,36.35,32,33.85,34.02,83547,32.99666667,34.441,32.612,25.69075
UTIBANK,20-Apr-00,33.85,33.25,33.9,32,33.45,32.92,50745,33.16166667,34.37,32.7195,25.77375
UTIBANK,24-Apr-00,33.45,33.3,34.2,32,32.55,32.74,62466,33.22333333,34.313,32.8055,25.849
UTIBANK,25-Apr-00,32.55,31.75,32.85,30.2,31.1,30.88,82390,33.325,34.195,32.8745,25.92125
UTIBANK,26-Apr-00,31.1,32.25,33.6,32.25,33.6,33.48,62291,33.43666667,34.192,32.9635,25.99975
UTIBANK,27-Apr-00,33.6,35,35.5,33.6,34.95,34.7,98202,33.65666667,34.2,33.046,26.0855
UTIBANK,28-Apr-00,34.95,35.25,36,34.1,34.5,34.84,53901,33.83666667,34.145,33.124,26.168
UTIBANK,2-May-00,34.5,36,36.25,34.3,35.85,35.48,137395,34.11833333,34.115,33.214,26.2565
UTIBANK,3-May-00,35.85,38,38,34.6,36.25,35.9,83471,34.34,34.06,33.3135,26.344
UTIBANK,4-May-00,36.25,36.7,36.9,35.8,36.05,36.24,96675,34.47833333,33.992,33.4145,26.431
UTIBANK,5-May-00,36.05,36.4,36.9,34.85,35.7,35.87,130558,34.64166667,33.929,33.5235,26.51575
